Primary Dataset,Stream
AlCaP0,ALCAP0
AlCaPhiSym,ALCAPHISYM
EcalLaser,EcalCalibration
HIDQMGPUvsCPU,HIDQMGPUvsCPU
HIDQMOnlineBeamspot,HIDQMOnlineBeamspot
HIEmptyBX,PhysicsHICommissioning
HIEphemeralHLTPhysics,PhysicsHIHLTPhysics
HIEphemeralZeroBias0,PhysicsHIZeroBias
HIEphemeralZeroBias1,PhysicsHIZeroBias
HIEventDisplay,HIDQMEventDisplay
HIExpressAlignment,HIExpressAlignment
HIExpressPhysics,HIExpress
HIExpressPhysicsRawPrime,HIExpressRawPrime
HIForward0,PhysicsHIForward0
HIForward1,PhysicsHIForward1
HIForward10,PhysicsHIForward10
HIForward11,PhysicsHIForward11
HIForward12,PhysicsHIForward12
HIForward13,PhysicsHIForward13
HIForward14,PhysicsHIForward14
HIForward15,PhysicsHIForward15
HIForward16,PhysicsHIForward16
HIForward17,PhysicsHIForward17
HIForward18,PhysicsHIForward18
HIForward19,PhysicsHIForward19
HIForward2,PhysicsHIForward2
HIForward3,PhysicsHIForward3
HIForward4,PhysicsHIForward4
HIForward5,PhysicsHIForward5
HIForward6,PhysicsHIForward6
HIForward7,PhysicsHIForward7
HIForward8,PhysicsHIForward8
HIForward9,PhysicsHIForward9
HIHLTPhysics,PhysicsHICommissioning
HIHcalNZS,PhysicsHICommissioning
HIMinimumBias0,PhysicsHIMinimumBias0
HIMinimumBias1,PhysicsHIMinimumBias1
HIMinimumBias2,PhysicsHIMinimumBias2
HIMinimumBias3,PhysicsHIMinimumBias3
HIOnlineMonitor,HIDQM
HIPhysicsRawPrime0,PhysicsHIPhysicsRawPrime0
HIPhysicsRawPrime1,PhysicsHIPhysicsRawPrime1
HIPhysicsRawPrime10,PhysicsHIPhysicsRawPrime10
HIPhysicsRawPrime11,PhysicsHIPhysicsRawPrime11
HIPhysicsRawPrime12,PhysicsHIPhysicsRawPrime12
HIPhysicsRawPrime13,PhysicsHIPhysicsRawPrime13
HIPhysicsRawPrime14,PhysicsHIPhysicsRawPrime14
HIPhysicsRawPrime15,PhysicsHIPhysicsRawPrime15
HIPhysicsRawPrime16,PhysicsHIPhysicsRawPrime16
HIPhysicsRawPrime17,PhysicsHIPhysicsRawPrime17
HIPhysicsRawPrime18,PhysicsHIPhysicsRawPrime18
HIPhysicsRawPrime19,PhysicsHIPhysicsRawPrime19
HIPhysicsRawPrime2,PhysicsHIPhysicsRawPrime2
HIPhysicsRawPrime20,PhysicsHIPhysicsRawPrime20
HIPhysicsRawPrime21,PhysicsHIPhysicsRawPrime21
HIPhysicsRawPrime22,PhysicsHIPhysicsRawPrime22
HIPhysicsRawPrime23,PhysicsHIPhysicsRawPrime23
HIPhysicsRawPrime24,PhysicsHIPhysicsRawPrime24
HIPhysicsRawPrime25,PhysicsHIPhysicsRawPrime25
HIPhysicsRawPrime26,PhysicsHIPhysicsRawPrime26
HIPhysicsRawPrime27,PhysicsHIPhysicsRawPrime27
HIPhysicsRawPrime28,PhysicsHIPhysicsRawPrime28
HIPhysicsRawPrime29,PhysicsHIPhysicsRawPrime29
HIPhysicsRawPrime3,PhysicsHIPhysicsRawPrime3
HIPhysicsRawPrime30,PhysicsHIPhysicsRawPrime30
HIPhysicsRawPrime31,PhysicsHIPhysicsRawPrime31
HIPhysicsRawPrime4,PhysicsHIPhysicsRawPrime4
HIPhysicsRawPrime5,PhysicsHIPhysicsRawPrime5
HIPhysicsRawPrime6,PhysicsHIPhysicsRawPrime6
HIPhysicsRawPrime7,PhysicsHIPhysicsRawPrime7
HIPhysicsRawPrime8,PhysicsHIPhysicsRawPrime8
HIPhysicsRawPrime9,PhysicsHIPhysicsRawPrime9
HITrackerNZS,PhysicsHITrackerNZS
L1Accept,NanoDST
RPCMonitor,RPCMON
TestEnablesEcalHcal,Calibration
TestEnablesEcalHcalDQM,DQMCalibration
