Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,2p0E34_NoAXO,1p8E34,1p8E34_NoAXO,2p0E34_OnlyMuons,2p0E34_NoMuShower,2p0E34_NoEcalTiming,HIon,PRef
HLTriggerFirstPath,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnCPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnGPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AlCa_EcalPhiSym_v17,1,1,1,1,1,1,1,1,1,1,1,1,0,1
AlCa_EcalEtaEBonly_v22,1,1,1,1,1,1,1,1,1,1,1,1,0,0
AlCa_EcalEtaEEonly_v22,1,1,1,1,1,1,1,1,1,1,1,1,0,0
AlCa_EcalPi0EBonly_v22,2,1,1,1,1,1,1,1,1,1,1,1,0,0
AlCa_EcalPi0EEonly_v22,1,1,1,1,1,1,1,1,1,1,1,1,0,0
AlCa_RPCMuonNormalisation_v20,12,20,20,20,20,20,20,20,20,20,20,20,0,0
AlCa_LumiPixelsCounts_Random_v8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AlCa_LumiPixelsCounts_ZeroBias_v10,2,1,1,1,1,1,1,1,1,1,1,1,1,13
AlCa_PFJet40_v28,2,2,2,2,2,2,2,2,2,0,2,2,1,2
AlCa_PFJet40_CPUOnly_v7,2,2,2,2,2,2,2,2,2,0,2,2,1,2
AlCa_AK8PFJet40_v23,20,20,20,20,20,20,20,20,20,0,20,20,1,20
DQM_PixelReconstruction_v10,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000
DQM_EcalReconstruction_v10,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000
DQM_HcalReconstruction_v8,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000
DST_ZeroBias_v7,1,1,1,1,1,1,1,1,1,1,1,1,1,15
DST_Physics_v12,10,10,10,10,10,10,10,10,10,10,10,10,10,10
DST_PFScouting_DoubleMuon_v2,0,0,1,1,1,1,0,1,1,0,1,1,1,0
DST_PFScouting_DoubleEG_v2,0,0,1,1,1,1,0,1,1,0,1,1,1,0
DST_PFScouting_JetHT_v2,0,0,1,1,1,1,0,1,1,0,1,1,1,0
DST_PFScouting_DatasetMuon_v2,0,0,1,1,1,1,0,1,1,0,1,1,1,0
DST_PFScouting_AXONominal_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DST_PFScouting_AXOTight_v2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DST_PFScouting_SingleMuon_v2,0,0,0,0,1,1,0,1,1,1,1,1,1,1
HLT_EphemeralPhysics_v7,0,0,0,0,100,0,0,0,0,0,0,0,0,0
HLT_EphemeralZeroBias_v7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HLT_EcalCalibration_v4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HcalCalibration_v6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HcalNZS_v19,1,1,1,1,1,1,1,1,1,1,1,1,0,1
HLT_HcalPhiSym_v21,1,1,1,1,1,1,1,1,1,1,1,1,0,1
HLT_Random_v3,60,40,40,40,40,40,40,40,40,40,40,40,1,40
HLT_Physics_v12,25,50,50,50,50,50,50,50,50,50,50,50,1,50
HLT_ZeroBias_v11,30,30,30,30,30,30,30,30,30,30,30,30,1,1000
HLT_ZeroBias_Alignment_v6,150,150,150,150,150,150,150,150,150,150,150,150,1,1000
HLT_ZeroBias_Beamspot_v12,75,75,75,75,75,75,75,75,75,75,75,75,1,1000
HLT_ZeroBias_IsolatedBunches_v10,1,1,1,1,1,1,1,1,1,1,1,1,1,10
HLT_ZeroBias_FirstBXAfterTrain_v8,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_ZeroBias_FirstCollisionAfterAbortGap_v10,2,2,2,2,2,2,2,2,2,2,2,2,1,2
HLT_ZeroBias_FirstCollisionInTrain_v9,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_ZeroBias_LastCollisionInTrain_v8,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_HT300_Beamspot_v19,80,80,80,80,80,80,80,60,60,80,80,80,1,0
HLT_IsoTrackHB_v12,6,6,6,6,6,6,6,6,6,6,6,6,0,1
HLT_IsoTrackHE_v12,3,3,3,3,3,3,3,3,3,3,3,3,0,1
HLT_PFJet40_GPUvsCPU_v5,1,1,1,1,1,1,1,1,1,0,1,1,1,1
HLT_AK8PFJet380_SoftDropMass30_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet400_SoftDropMass30_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet425_SoftDropMass30_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8PFJet450_SoftDropMass30_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet250_250_SoftDropMass40_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet250_250_SoftDropMass50_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet260_260_SoftDropMass30_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet260_260_SoftDropMass40_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet270_270_SoftDropMass30_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet280_280_SoftDropMass30_v8,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_AK8DiPFJet290_290_SoftDropMass30_v2,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_CaloJet500_NoJetID_v20,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_CaloJet550_NoJetID_v15,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v12,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v12,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Trimuon5_3p5_2_Upsilon_Muon_v13,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleEle25_CaloIdL_MW_v13,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleEle27_CaloIdL_MW_v13,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleEle33_CaloIdL_MW_v26,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleEle24_eta2p1_WPTight_Gsf_v15,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350_v28,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350_v28,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu27_Ele37_CaloIdL_MW_v13,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu37_Ele27_CaloIdL_MW_v13,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Mu37_TkMu27_v13,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_3_Bs_v23,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_3_Jpsi_v23,0,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_DoubleMu4_3_LowMass_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_LowMass_Displaced_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu0_L1DoubleMu_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu4_L1DoubleMu_v9,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,0
HLT_DoubleMu2_Jpsi_LowPt_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_3_Photon4_BsToMMG_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_3_Displaced_Photon4_BsToMMG_v8,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu3_Trk_Tau3mu_v20,0,20,20,20,20,20,20,20,20,20,20,20,1,0
HLT_DoubleMu3_TkMu_DsTau3Mu_v12,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_Mass3p8_DZ_PFHT350_v16,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoubleMu4_MuMuTrk_Displaced_v23,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu3_PFJet40_v24,0,2,2,2,2,2,2,2,2,2,2,2,1,0
HLT_Mu7p5_L2Mu2_Jpsi_v18,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu7p5_L2Mu2_Upsilon_v18,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu3_L1SingleMu5orSingleMu7_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu0_Barrel_v2,0,1,1,1,1,1,1,1,1,1,1,1,0,0
HLT_Mu0_Barrel_L1HP10_v2,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0
HLT_Mu0_Barrel_L1HP11_v2,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0
HLT_Mu9_Barrel_L1HP10_IP6_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_Mu10_Barrel_L1HP11_IP6_v2,0,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_DoublePhoton33_CaloIdL_v15,0,64,64,64,64,64,64,64,64,0,64,64,1,0
HLT_DoublePhoton70_v15,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DoublePhoton85_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_DiEle27_WPTightCaloOnly_L1DoubleEG_v12,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele30_WPTight_Gsf_v9,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele32_WPTight_Gsf_v23,0,1,1,1,1,1,1,1,1,0,1,1,1,0
HLT_Ele35_WPTight_Gsf_v17,0,1,1,1,1,1,1,1,1,0,1,1,1,0
