Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p8E34,1p6E34,1p4E34,1p3E34,1p2E34,2p0E34_OnlyMuons,2p0E34_NoAXO,2p0E34_NoEcalTiming,HIon,PRef
HLTriggerFirstPath,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnCPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnGPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AlCa_EcalPhiSym_v18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
AlCa_EcalEtaEBonly_v23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
AlCa_EcalEtaEEonly_v23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
AlCa_EcalPi0EBonly_v23,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
AlCa_EcalPi0EEonly_v23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
AlCa_RPCMuonNormalisation_v21,12,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0
AlCa_LumiPixelsCounts_Random_v8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AlCa_LumiPixelsCounts_ZeroBias_v10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13
AlCa_PFJet40_v30,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2
AlCa_PFJet40_CPUOnly_v9,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2
AlCa_AK8PFJet40_v25,20,20,20,20,20,20,20,20,20,20,20,0,20,20,1,20
DQM_PixelReconstruction_v10,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000
DQM_EcalReconstruction_v10,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000
DQM_HcalReconstruction_v8,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000
DST_ZeroBias_v9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
DST_Physics_v14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
DST_PFScouting_DoubleMuon_v4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
DST_PFScouting_DoubleEG_v4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
DST_PFScouting_JetHT_v4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
DST_PFScouting_DatasetMuon_v4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
DST_PFScouting_AXOVLoose_v2,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
DST_PFScouting_AXOLoose_v2,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
DST_PFScouting_AXONominal_v4,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
DST_PFScouting_AXOTight_v4,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
DST_PFScouting_AXOVTight_v2,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
DST_PFScouting_SingleMuon_v4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
DST_PFScouting_SinglePhotonEB_v1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
DST_PFScouting_ZeroBias_v2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
HLT_EphemeralPhysics_v7,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
HLT_EphemeralZeroBias_v7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HLT_EcalCalibration_v4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HcalCalibration_v6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HcalNZS_v19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
HLT_HcalPhiSym_v21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
HLT_Random_v3,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,40
HLT_Physics_v12,25,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50
HLT_ZeroBias_v11,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1,1000
HLT_ZeroBias_Alignment_v6,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1,1000
HLT_ZeroBias_Beamspot_v14,75,75,75,75,75,75,75,75,75,75,75,75,75,75,1,1000
HLT_ZeroBias_IsolatedBunches_v10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10
HLT_ZeroBias_FirstBXAfterTrain_v8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_ZeroBias_FirstCollisionAfterAbortGap_v10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
HLT_ZeroBias_FirstCollisionInTrain_v9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_ZeroBias_LastCollisionInTrain_v8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
HLT_HT300_Beamspot_v21,80,80,80,80,80,80,60,60,60,60,60,80,80,80,1,0
HLT_IsoTrackHB_v12,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1
HLT_IsoTrackHE_v12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1
HLT_PFJet40_GPUvsCPU_v5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
