Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p8E34,1p6E34,1p4E34,1p3E34,1p2E34,2p0E34_OnlyMuons,2p0E34_NoL1CICADA,2p0E34_NoEcalTiming,HIon,PRef
HLTriggerFirstPath,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnCPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnGPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AlCa_EcalPhiSymForHI_v12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AlCa_EcalEtaEBonlyForHI_v13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AlCa_EcalEtaEEonlyForHI_v13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AlCa_EcalPi0EBonlyForHI_v13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AlCa_EcalPi0EEonlyForHI_v13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AlCa_RPCMuonNormalisationForHI_v11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
DQM_HIPixelReconstruction_v12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
DQM_HIEcalReconstruction_v10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
DQM_HIHcalReconstruction_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
DST_Physics_v16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLT_HIEphemeralPhysics_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
HLT_HIEphemeralZeroBias_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_EcalCalibration_v4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HcalCalibration_v6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HIL1NotBptxOR_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1UnpairedBunchBptxPlus_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1UnpairedBunchBptxMinus_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPhysics_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
HLT_HIPhysicsForZS_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
HLT_HIRandom_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
HLT_HIRandom_HighRate_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HIHcalNZS_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0
HLT_HIHcalPhiSym_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIZeroBias_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
HLT_HIZeroBias_HighRate_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HIZeroBias_FirstCollisionAfterAbortGap_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIZeroBias_HighRateRAW_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIMinimumBiasHF1AND_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIMinimumBiasHF1AND_copy_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0
HLT_HIMinimumBiasHF1AND_Beamspot_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,0
HLT_HIMinimumBiasHF1ANDZDC1nOR_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIMinimumBiasHF1ANDZDC2nOR_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIMinimumBiasHF1ANDZDC1nOR_copy_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0
HLT_HIMinimumBiasHF1ANDZDC2nOR_copy_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0
HLT_HIMinimumBiasHF1ANDZDC1nOR_Beamspot_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0
HLT_HIMinimumBiasHF1ANDZDC2nOR_Beamspot_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0
HLT_HICentrality30100_FirstCollisionAfterAbortGap_v14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HIL1Centrality30_50_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1_UCC_0_0p5_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1_UCC_0_1_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet40Eta5p1_MinBiasHF1AND_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet40Eta5p1_MinBiasHF1AND_ZDC1nOR_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet40Eta5p1_MinBiasHF1AND_ZDC2nOR_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet60Eta5p1_MinBiasHF1AND_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
