Path,Emergency,2p0E34_NoScouting,2p0E34_NoLowPtSingleMu,2p0E34_NoLowPtSingleMuScouting,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p8E34,1p6E34,1p4E34,1p3E34,1p2E34,2p0E34_OnlyMuons,2p0E34_NoL1AnomalyML,2p0E34_NoEcalTiming,HIon,PRef
HLTriggerFirstPath,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnCPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnGPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AlCa_EcalPhiSym_v20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
AlCa_HIEcalEtaEBonly_v12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlCa_HIEcalEtaEEonly_v12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlCa_HIEcalPi0EBonly_v12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlCa_HIEcalPi0EEonly_v12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlCa_HIRPCMuonNormalisation_v11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
AlCa_LumiPixelsCounts_Random_v10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AlCa_LumiPixelsCounts_ZeroBias_v12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13
DQM_PixelReconstruction_v12,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000
DQM_EcalReconstruction_v12,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000
DQM_HcalReconstruction_v10,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000
DST_Physics_v16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLT_EcalCalibration_v4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HcalCalibration_v6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HcalNZS_v21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
HLT_HcalPhiSym_v23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
HLT_Random_v3,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,40
HLT_Physics_v14,25,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50
HLT_ZeroBias_v13,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1,1000
HLT_ZeroBias_Beamspot_v16,75,75,75,75,75,75,75,75,75,75,75,75,75,75,1,1000
HLT_ZeroBias_FirstCollisionAfterAbortGap_v12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
HLT_IsoTrackHB_v14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1
HLT_IsoTrackHE_v14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1
HLT_CDC_L2cosmic_10_er1p0_v10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
HLT_CDC_L2cosmic_5p5_er1p0_v10,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1
HLT_HIL1UnpairedBunchBptxMinusForPPRef_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HIL1UnpairedBunchBptxPlusForPPRef_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HIL1NotBptxORForPPRef_v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HIHT80_Beamspot_ppRef5TeV_v15,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60
HLT_PPRefZeroBias_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4CaloJet40_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
HLT_AK4CaloJet60_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4CaloJet70_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4CaloJet80_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4CaloJet100_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4CaloJet120_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4CaloJetFwd40_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4CaloJetFwd60_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4CaloJetFwd70_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4CaloJetFwd80_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4CaloJetFwd100_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4CaloJetFwd120_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4PFJet40_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
HLT_AK4PFJet60_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4PFJet80_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4PFJet100_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4PFJet120_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HLT_AK4PFJetFwd40_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
