Path,Emergency,EmittanceScan,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p95E34,1p9E34,1p85E34,1p8E34,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoL1CICADA,Backup1,Backup2,HIon,PRef
HLTriggerFirstPath,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnCPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnGPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AlCa_EcalPhiSymForHI_v14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
AlCa_EcalEtaEBonlyForHI_v15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
AlCa_EcalEtaEEonlyForHI_v15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
AlCa_EcalPi0EBonlyForHI_v15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
AlCa_EcalPi0EEonlyForHI_v15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
AlCa_RPCMuonNormalisationForHI_v14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
DQM_HIPixelReconstruction_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0
DQM_HIEcalReconstruction_v11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0
DQM_HIHcalReconstruction_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0
DST_Physics_v18,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLT_HIEphemeralPhysics_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0
HLT_HIEphemeralZeroBias_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_EcalCalibration_v5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HcalCalibration_v7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HIL1NotBptxOR_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1UnpairedBunchBptxPlus_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1UnpairedBunchBptxMinus_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPhysics_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
HLT_HIPhysicsForZS_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
HLT_HIRandom_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
HLT_HIRandom_HighRate_v4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HIHcalNZS_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIHcalPhiSym_v16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIZeroBias_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0
HLT_HIZeroBias_HighRate_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIZeroBias_FirstCollisionAfterAbortGap_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIZeroBias_HighRateRAW_v5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0
HLT_HIMinimumBiasHF1AND_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIMinimumBiasHF1AND_copy_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2632,0
HLT_HIMinimumBiasHF1ANDZDC1nOR_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIMinimumBiasHF1ANDZDC2nOR_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIMinimumBiasHF1ANDZDC1nOR_copy_v6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2632,0
HLT_HIMinimumBiasHF1ANDZDC2nOR_copy_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2632,0
HLT_HICentrality30100_FirstCollisionAfterAbortGap_v15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT_HICentrality50100MinimumBiasHF1AND_Beamspot_v3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HIL1Centrality30_50_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1_UCC_0_0p5_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIL1_UCC_0_1_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet40Eta5p1_MinBiasHF1AND_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet40Eta5p1_MinBiasHF1AND_ZDC1nOR_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet40Eta5p1_MinBiasHF1AND_ZDC2nOR_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet60Eta5p1_MinBiasHF1AND_v8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet60Eta5p1_MinBiasHF1AND_ZDC1nOR_v7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HLT_HIPuAK4CaloJet60Eta5p1_MinBiasHF1AND_ZDC2nOR_v9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
