Path,Emergency,EmittanceScan,2p0E34+ZeroBias+HLTPhysics,2p0E34,1p95E34,1p9E34,1p85E34,1p8E34,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoL1CICADA,Backup1,Backup2,HIon,PRef
HLTriggerFirstPath,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnCPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Status_OnGPU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AlCa_EcalPhiSym_v22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
AlCa_HIEcalEtaEBonly_v13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlCa_HIEcalEtaEEonly_v13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlCa_HIEcalPi0EBonly_v13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlCa_HIEcalPi0EEonly_v13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlCa_HIRPCMuonNormalisation_v12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
AlCa_LumiPixelsCounts_Random_v12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AlCa_LumiPixelsCounts_ZeroBias_v15,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34
DQM_PixelReconstruction_v13,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000
DQM_EcalReconstruction_v13,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000
DQM_HcalReconstruction_v11,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000
DST_Physics_v17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLT_EcalCalibration_v4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HcalCalibration_v6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HcalNZS_v22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
HLT_HcalPhiSym_v24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
HLT_Random_v3,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,40
HLT_Physics_v15,25,50,50,50,50,50,50,50,50,50,50,50,50,50,1,50
HLT_ZeroBias_v14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,5000
HLT_ZeroBias_Beamspot_v18,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1,1000
HLT_ZeroBias_FirstCollisionAfterAbortGap_v13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_CDC_L2cosmic_10_er1p0_v11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
HLT_CDC_L2cosmic_5p5_er1p0_v11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1
HLT_PPSMaxTracksPerArm1_v10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1
HLT_PPSMaxTracksPerRP4_v10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1
HLT_PPSRandom_v1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1
HLT_HIL1UnpairedBunchBptxMinusForPPRef_v10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HIL1UnpairedBunchBptxPlusForPPRef_v10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HIL1NotBptxORForPPRef_v10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_Random_HighRate_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_HIHT80_Beamspot_Oxy5TeV_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_MinimumBiasHF_AND_BptxAND_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_MinimumBiasHF_OR_BptxAND_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_MinimumBiasZDC1n_OR_BptxAND_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_MinimumBiasZDC1n_OR_MinimumBiasHF_AND_BptxAND_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_MinimumBiasZDC1n_OR_MinimumBiasHF_OR_BptxAND_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_MinimumBiasZDC1n_OR_OR_MinimumBiasHF_OR_BptxAND_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_MinimumBiasZDC_Asym_MinimumBiasHF_OR_BptxAND_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyDoubleEG2_NotMBHF2AND_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyDoubleEG5_NotMBHF2AND_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1CentralityGate_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1DoubleMu0_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1DoubleMuOpen_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleEG10_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HLT_OxyL1SingleEG15_v1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
